Sembol,Açıklama,Fiyat,Fiyat - Döviz,"Fiyat değişimi %, 1 gün","Hacim, 1 gün","Bağıl hacim, 1 gün",Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY","Temettü verimi %, Son 12 ay",Sektör,Analist derecelendirmesi
A1CAP,A1 Capital Yatitim Menkul Degerler A.S.,8.99,TRY,0.22296544035673993,5751543,0.8758481341399167,6054750180,TRY,2.8935594966043325,3.1069,TRY,155.5016447368421,0,Finans,Derecelendirme yok
A1YEN,A1 Yenilenebilir Enerji Uretim AS,2.71,TRY,1.4981273408239715,13136636,1.017650256598358,1602000046,TRY,16.524390243902438,0.164,TRY,11.488783140720596,0,"Elektrik, Su, Gaz Hizmetleri",Derecelendirme yok
AAGYO,Agaoglu Avrasya Gayrimenkul Yatirim Ortakligi AS,13.27,TRY,1.5302218821729097,15282704,1.405186515803308,,,,,,,,Finans,Derecelendirme yok
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,125,TRY,-1.574803149606299,95675,0.37575219167505164,1359058760,TRY,,-2.7087,TRY,61.150552902198704,0,İşlenebilen endüstriler,Derecelendirme yok
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,29.52,TRY,-0.06770480704129848,1606950,1.1301229762556328,7676707738,TRY,,-1.2015,TRY,-7.593803170054623,1.95429925524712,Dayanıklı tüketim malları,Derecelendirme yok
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,0.85,TRY,-2.2988505747126458,45425450,0.36232878065847873,4384800024,TRY,22.8494623655914,0.0372,TRY,-47.15909090909092,0,Finans,Derecelendirme yok
ADGYO,Adra Gayrimenkul Yatirim Ortakligi A.S.,55.05,TRY,5.258126195028681,2149816,2.8731967142784973,28548186333,TRY,,-1.538,TRY,-151.90509938915326,0,Finans,Derecelendirme yok
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,21.32,TRY,-1.0213556174558907,47507331,1.1433001020782978,127539481319,TRY,14.517227291297836,1.4686,TRY,-19.34314586994728,1.37952646239554,Dayanıklı olmayan tüketici ürünleri,Al
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,12.55,TRY,-1.4913657770800588,856190,0.5232342364678401,5095999908,TRY,121.84466019417476,0.103,TRY,-83.69221025965801,11.7739403453689,Enerji-dışı mineraller,Derecelendirme yok
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,244.6,TRY,0.8244023083264632,111310,0.8668550784343808,43668001099,TRY,7.181781880534611,34.0584,TRY,79.81500253421187,2.86250783182193,Finans,Güçlü al
